xflr5 v6.58

Plane name :, Plane Name5 Wing angle = -1
Polar name :, T5 Wing angle minus 1
Freestream speed :, 133.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.052825,   0.000339,   0.011736,   0.012075,  -0.000000,  -0.000000,  -0.024810,   0.000000,   0.000000,  133.0000,    0.6669
   -1.500,     0.000,  -0.002378,   0.000193,   0.011613,   0.011806,  -0.000000,  -0.000000,  -0.035258,   0.000000,   0.000000,  133.0000,  -22.9884
   -1.000,     0.000,   0.048068,   0.000230,   0.011496,   0.011725,  -0.000000,  -0.000000,  -0.045655,   0.000000,  -0.000000,  133.0000,    3.0078
   -0.500,     0.000,   0.098507,   0.000448,   0.011345,   0.011794,   0.000000,  -0.000000,  -0.055996,   0.000000,  -0.000000,  133.0000,    2.3802
    0.000,     0.000,   0.148927,   0.000849,   0.011219,   0.012068,   0.000000,  -0.000000,  -0.066278,   0.000000,  -0.000000,  133.0000,    2.1779
    0.500,     0.000,   0.199322,   0.001432,   0.011164,   0.012596,   0.000000,  -0.000000,  -0.076503,   0.000000,  -0.000000,  133.0000,    2.0780
    1.000,     0.000,   0.249682,   0.002195,   0.011156,   0.013351,   0.000000,  -0.000000,  -0.086668,   0.000000,  -0.000000,  133.0000,    2.0186
    1.500,     0.000,   0.299999,   0.003139,   0.011169,   0.014308,   0.000000,  -0.000000,  -0.096770,   0.000000,  -0.000000,  133.0000,    1.9793
    2.000,     0.000,   0.350264,   0.004263,   0.011191,   0.015454,   0.000000,  -0.000000,  -0.106802,   0.000000,  -0.000000,  133.0000,    1.9514


