xflr5 v6.58

Plane name :, Plane Name4 Wing angle = -1
Polar name :, T4 Wing angle minus 1
Freestream speed :, 133.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.107288,   0.001189,   0.011765,   0.012954,  -0.000000,  -0.000000,   0.104447,   0.000000,   0.000000,  133.0000,    3.0208
   -1.500,     0.000,  -0.056832,   0.000781,   0.011638,   0.012419,  -0.000000,  -0.000000,   0.094094,   0.000000,   0.000000,  133.0000,    4.1199
   -1.000,     0.000,  -0.006368,   0.000555,   0.011517,   0.012073,  -0.000000,  -0.000000,   0.083772,   0.000000,   0.000000,  133.0000,   22.6398
   -0.500,     0.000,   0.044095,   0.000512,   0.011369,   0.011881,  -0.000000,  -0.000000,   0.073486,   0.000000,   0.000000,  133.0000,   -1.2293
    0.000,     0.000,   0.094550,   0.000651,   0.011231,   0.011881,  -0.000000,  -0.000000,   0.063238,   0.000000,   0.000000,  133.0000,    0.3783
    0.500,     0.000,   0.144988,   0.000971,   0.011169,   0.012141,  -0.000000,   0.000000,   0.053027,   0.000000,   0.000000,  133.0000,    0.8673
    1.000,     0.000,   0.195399,   0.001474,   0.011155,   0.012629,  -0.000000,   0.000000,   0.042854,   0.000000,   0.000000,  133.0000,    1.1040
    1.500,     0.000,   0.245776,   0.002157,   0.011163,   0.013320,  -0.000000,   0.000000,   0.032726,   0.000000,   0.000000,  133.0000,    1.2437
    2.000,     0.000,   0.296110,   0.003021,   0.011182,   0.014204,   0.000000,  -0.000000,   0.022645,   0.000000,  -0.000000,  133.0000,    1.3360


