xflr5 v6.58

Plane name :, Plane Name5
Polar name :, T5-133.0 m/s-VLM1
Freestream speed :, 133.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,   0.020712,   0.000309,   0.011505,   0.011814,  -0.000000,  -0.000000,   0.018526,   0.000000,   0.000000,  133.0000,    0.0353
   -1.500,     0.000,   0.071303,   0.000396,   0.011355,   0.011752,  -0.000000,  -0.000000,   0.008057,   0.000000,   0.000000,  133.0000,    1.2773
   -1.000,     0.000,   0.121884,   0.000667,   0.011223,   0.011889,  -0.000000,  -0.000000,  -0.002360,   0.000000,   0.000000,  133.0000,    1.4884
   -0.500,     0.000,   0.172447,   0.001119,   0.011164,   0.012283,  -0.000000,  -0.000000,  -0.012727,   0.000000,  -0.000000,  133.0000,    1.5757
    0.000,     0.000,   0.222984,   0.001755,   0.011153,   0.012908,  -0.000000,  -0.000000,  -0.023042,   0.000000,  -0.000000,  133.0000,    1.6236
    0.500,     0.000,   0.273486,   0.002573,   0.011164,   0.013737,   0.000000,  -0.000000,  -0.033298,   0.000000,  -0.000000,  133.0000,    1.6539
    1.000,     0.000,   0.323943,   0.003572,   0.011185,   0.014756,   0.000000,  -0.000000,  -0.043491,   0.000000,  -0.000000,  133.0000,    1.6748
    1.500,     0.000,   0.374349,   0.004751,   0.011214,   0.015966,   0.000000,  -0.000000,  -0.053617,   0.000000,  -0.000000,  133.0000,    1.6903
    2.000,     0.000,   0.424694,   0.006111,   0.011276,   0.017387,   0.000000,  -0.000000,  -0.063676,   0.000000,  -0.000000,  133.0000,    1.7022


